Shenmue;Shenmue I & II;Dreamcast, PS4, Xbox One, Windows;any?;;Dreamcast;Shenmue I & II is buggy;Windows, PS4, Xbox One;Need verification
Shenmue 2;Shenmue I & II;Dreamcast, Xbox, PS4, Xbox One, Windows;Dreamcast;only in DC version is possible to import saves from Shenmue 1;Dreamcast, Xbox;Shenmue I & II is buggy;Windows, PS4, Xbox One;Need verification
Shenmue 3;;PS4, Windows;PS4, Windows;Windows version will more useful in future;PS4, Windows;;Windows, PS4;Need verification
Sonic Adventure;Sonic Adventure DX;Dreamcast, GameCube, PS3, Xbox 360, Windows;GameCube, Windows (2003 release year, not Steam);Only this versions have 12 games from GameGear;Dreamcast;In latest versions were breaked many visual effects, but some effects added;Dreamcast emulator + enhancements;In latest versions were breaked many visual effects, but some effects added
Sonic Adventure 2; Sonic Adventure 2 Battle;Dreamcast, GameCube, PS3, Xbox 360, Windows;None. Closest to the most complete version: Dreamcast, GameCube;In DC it is possible to move Chao to Memory Card, in GC it is possible to move Chao to Sonic Advance, Sonic Advance 2, Sonic Pinball Party for GBA;GameCube?;;???;
The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Collector’s Edition, The Legend of Zelda: Ocarina of Time 3D (remake);N64, GC, Wii Virtual Console, WiiU virtual console, Switch, 3DS, iQue Player;???;;???;;GC, 3DS (remake);
Grand Theft Auto IV;;PS3, Xbox 360, Windows;Windows;;PS3, Xbox 360, Windows;;Windows;Especially with mods
Soul Calibur;;Arcade, Dreamcast, Xbox 360, iOS, Android;Dreamcast;;Any?;;Xbox 360;
Red Dead Redemption;;PS3, Xbox 360;PS3, Xbox 360;;PS3, Xbox 360;;Xbox 360;Stable fps on xbox
Red Dead Redemption 2;;PS4, Xbox One, Windows;Windows;New missions, gang hideouts, treasure maps, weapons, horses, trinkets;PS4, Xbox One, Windows;;Windows;
Grand Theft Auto V;;PS3, Xbox 360, PS4, Xbox One, PS5, Xbox Series, Windows;PS5, Xbox Series;;PS3, Xbox 360, PS4, Xbox One, PS5, Xbox Series, Windows;;PS5, Xbox Series, Windows (with mods);
Disco Elysium;Disco Elysium: The Final Cut;Windows, macOS, PS4, PS5, Stadia, Switch, Xbox One, Xbox Series;Windows, macOS, PS4, PS5, Stadia, Switch, Xbox One, Xbox Series;;Windows, macOS, PS4, PS5, Stadia, Switch, Xbox One, Xbox Series;;Windows, macOS;Bigger resolution on PC
The Legend of Zelda: Breath of the Wild;;Switch, WiiU;Switch, WiiU;;Switch, WiiU;;Switch emulator on hi-end PC :);
Grand Theft Auto 3;Grand Theft Auto: The Trilogy – The Definitive Edition;PS2, Windows, Xbox, macOS, Android, iOS, Fire OS;PS2, Windows, Xbox, macOS, Android, iOS, Fire OS;;???;;Xbox;The Definitive Edition – Ugly as Hell
Halo: Combat Evolved;Halo: Combat Evolved Anniversary;Xbox, Xbox 360, Xbox One, Xbox Series, Windows, macOS;Xbox 360, Xbox One, Xbox Series, Windows;;???;;Xbox Series X, Windows (Anniversary);
Half-Life 2;;Windows, macOS, Linux, Xbox, Xbox 360, PS3, Android;Windows, macOS, Xbox, Xbox 360, PS3, Android;;Windows, macOS, Linux;Only Steam versions still receive updates from time to time, no info about android version;Windows, macOS, Linux;Higher resolution on PC systems
Half-Life 2: Episode One;;Windows, macOS, Linux, Xbox, Xbox 360, PS3, Android;Windows, macOS, Xbox, Xbox 360, PS3, Android;;Windows, macOS, Linux;Only Steam versions still receive updates from time to time, no info about android version;Windows, macOS, Linux;Higher resolution on PC systems
Half-Life 2: Episode Two;;Windows, macOS, Linux, Xbox, Xbox 360, PS3, Android;Windows, macOS, Xbox, Xbox 360, PS3, Android;;Windows, macOS, Linux;Only Steam versions still receive updates from time to time, no info about android version;Windows, macOS, Linux;Higher resolution on PC systems
BioShock;BioShock: Remastered (BioShock: The Collection);Windows, macOS, Xbox 360, Xbox One, PS3, PS4, Switch, iOS;None, Closest: PS3, PS4, Xbox One, Windows, macOS, Switch;Only PS3 version has Survivor Mode, Challenge Room, New Game+. Remastered versions have director’s commentary;Windows, macOS, Xbox 360, Xbox One, PS3, PS4, Switch;;Windows (Remastered), macOS (Remastered);Higher resolution on PC systems
Resident Evil 4;Resident Evil 4 HD, Resident Evil 4 VR;GameCube, PS2,  Windows, Wii, iOS, Zeebo, PS3, Xbox 360, Android, PS4, Xbox One, Switch, Oculus Quest 2;PS2,  Windows, Wii, PS3, Xbox 360, PS4, Xbox One, Switch;Separate Ways scenario for Ada Wong in this versions. In Oculus (VR) version removed some scenes and dialogs. No info about Zeebo and Android versions;???;;Windows, PS4, Xbox One, Oculus Quest 2;in Oculus version best textures but VR
